web-scraper-order;web-scraper-start-url;link;link-href;judul;penulis;abstrak
1677119807-30;https://pta.trunojoyo.ac.id/c_search/byprod/10/95;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100005;Perancangan Sistem Informasi Pengelolaan Anggaran Berbasis Web;Penulis : Suharto;"Proses pengelolaan anggaran di Dinas Komunikasi dan Informatika Kabupaten Sumenep meliputi proses DPA yang sudah disahkan, pembuatan NPD, pembuatan SPP, dan rekap laporan. Pengelolaan anggaran sangat diperlukan dalam mengelolah keuangan dari tiap kegiatan yang direncanakan. Rencana pengelolaan anggaran disusun berdasarkan kegiatan tahunan dengan rencana kegiatan jangka panjang. Masalah yang terjadi pada perhitungan data-data pengeluaran anggaran, dikarenakan tidak ada laporan yang otomatis dicetak, masih dihitung secara manual yang membutuhkan berkas-berkas data pengeluaran sebelumnya. Sistemnya masih manual sehingga hasil kinerjanya cukup lambat dan membutuhkan waktu yang cukup lama terutama dalam laporan pengelolaan anggaran. Dengan menggunakan sistem informasi pengelolaan anggaran berbasis web mampu dan membantu segala kegiatan pembuatan laporan lebih mudah, cepat, efisien, dan tepat waktu dalam melaksanakannya. Untuk membantu pembuatan aplikasi ini dengan menggunakan Framework CodeIgniter versi 3.0.4. Framework CodeIgniter dapat diperoleh secara gratis dengan sistem model MVC (Model, View, Controller) yang dikembangkan aplikasi web berbasis PHP. Hasil dari penelitian perancangan sistem informasi pengelolaan anggaran  ini mampu membantu dan mempermudah pekerjaan para pegawai dalam pembuatan laporan pengelolaan anggaran, sehingga dapat memperoleh informasi yang lebih mudah, akurat, dan cepat.

Kata Kunci : Sistem Informasi, Laporan Pengelolaan Anggaran, Framework CodeIgniter."
1677119812-31;https://pta.trunojoyo.ac.id/c_search/byprod/10/94;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100108;Rancang Bangun Sistem Informasi Bimbingan Konseling dan Pelanggaran Siswa;Penulis : Heru Rohmadi;"Bimbingan konseling berperan besar dalam proses pembentukan kepribadian dan mengasah kemampuan siswa di bidang akademik. Peran bimbingan konseling di sekolah bisa lebih maksimal apabila didukung dengan sistem pelayanan bimbingan konseling yang baik. Permasalahan yang masih umum ada adalah kurang lengkapnya ketersediaan data konseli yang dibutuhkan konselor dalam kegiatan pelayanan bimbingan konseling. Permasalahan tersebut dapat diminimalisir dengan adanya sebuah sistem yang bisa menampung dan menyediakan data kembali secara lengkap. Sehingga, dengan adanya sistem informasi bimbingan konseling dan pelanggaran siswa, diharapkan bisa memperbaiki kinerja sistem lama menjadi sistem yang terkomputasi, sekaligus meminimalisir kehilangan dan kerancuan data, serta dapat meningkatkan pelayanan bimbingan konseling di sekolah. Berdasarkan hasil uji coba fungsionalitas dan objektifitas sistem, secara keseluruhan dinilai bisa berjalan baik dengan nilai 7,90.

Kata kunci: Sistem Informasi, Bimbingan Konseling."
1677119814-32;https://pta.trunojoyo.ac.id/c_search/byprod/10/94;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411200116;Sistem Pendukung Keputusan Pemilihan Program Studi Perguruan Tinggi untuk Siswa Sekolah Menengah Atas;Penulis : Fifin Abqoriyah;"Pemilihan program studi perguruan tinggi merupakan salah satu isu penting bagi siswa sekolah menengah atas, khususnya siswa kelas XII, yang akan menempuh jenjang perguruan tinggi. Saat ini, proses pemilihan program studi tersebut masih dilakukan secara manual oleh guru Bimbingan Konseling berdasarkan nilai rapor dan minat siswa saja. 
Penelitian ini mengembangkan sistem pendukung keputusan untuk membantu siswa Sekolah Menengah Atas dalam memilih program studi perguruan tinggi. Sistem ini dapat digunakan oleh siswa secara efektif dan efisien. Selain oleh siswa sekolah menengah atas, sistem ini juga dapat digunakan sebagai media pendamping, baik bagi guru bimbingan konseling maupun pihak universitas sebagai sarana edukasi dan informasi. Sistem yang didesain secara otomatis dapat memberikan rekomendasi bagi pengguna berdasarkan nilai masukan. Nilai masukan yang akan diproses sebagai acuan adalah nilai rapor atau nilai mata pelajaran siswa selaku pengguna. Pemrosesan  juga tidak membutuhkan waktu lama sehingga aspek ini menjadi keunggulan bagi sistem dalam hal efisiensi.
Hasil uji coba pada 39 siswa kelas XII SMA Negeri 1 Sampang menunjukkan bahwa sistem berada pada kualifikasi “baik” dan tidak memerlukan revisi. Rata-rata prosentase secara keseluruhan mengenai kualitas sistem pendukung keputusan pemilihan program studi untuk siswa sekolah menengah atas adalah 77,8% untuk uji coba pada perorangan, 84% untuk uji coba kelompok kecil, dan 81,4 % uji coba kelompok besar.
Kata kunci : fakultas, program studi, sistem pendukung keputusan"
1677119817-33;https://pta.trunojoyo.ac.id/c_search/byprod/10/94;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/110411100024;"SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN INDUSTRI KECIL MENENGAH (IKM)  UNGGULAN DI KABUPATEN SUMENEP DENGAN MENGGUNAKAN METODE WEIGHTED PRODUCT (WP)

Kata Kunci : Sistem Pendukung Keputusan, Industri Kec";Penulis : Faris Suriyansyah;"Salah satu program kerja Dinas Perindustrian dan Perdagangan Kabupaten Sumenep adalah Pengembangan Industri Rumah Tangga dan Program Peningkatan Kemampuan Teknologi, nantinya akan menenetukan sebuah IKM unggulan, dan IKM unggulan ini akan dibina dan diberikan bantuan peralatan.  
Sistem ini dibangun untuk mendukung proses perangkingan terhadap IKM, dimana proses ini membutuhkan data dari IKM yang ada. Nantinya data tersebut diolah dengan metode Weighted Produc,t sebelum di olah data diklasifikasikan terlebih dahulu (Industri Kecil, Industri menengah, Industri Atas).  
Penelitian ini menghasilkan  rangking yang berbeda antara dinas dengan sistem, dikarenakan perbedaan faktor penilaian. Pada dinas mengunakan penilaian dari segi produk (banyaknya pelaku usaha) dan melalui penggolongan (Seperti KIID, OVOP,IK,IA). Sedangkan sistem menggunakan jumlah tenaga kerja, nilai investasi, jumlah produksi, nilai produksi, jumlah bahan baku."
1677119819-34;https://pta.trunojoyo.ac.id/c_search/byprod/10/94;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/100411100004;SISTEM PENDUKUNG KEPUTUSAN REKOMENDASI MERK DAN TIPE KELAS SEPEDA MOTOR UNTUK CALON PEMBELI MENGGUNAKAN KLASIFIKASI NAÏVE BAYESSIAN;Penulis : Irfan Dzulkarnain Adyaksa;"Sepeda motor merupakan salah satu alat transportasi yang di gemari masyarakat karena memiliki ukuran yang kecil, cepat dan harga yang tidak terlalu mahal di bandingkan alat transportasi lainya. Sekarang banyak macam varian sepeda motor lengkap dengan keunggulan dan kelebihannya. Hal ini tentunya akan mempersulit konsumen dalam menentukan pilihan yang tepat, sesuai dengan kriteria yang diinginkan. Untuk memudahkan pembeli dalam memilih sepeda motor yang sesuai dengan keinginannya dirancanglah sebuah sistem pendukung keputusan untuk menentukan sepeda motor yang sesuai. Dimana sistem pendukung keputusan yang dirancang berbasis web sehingga mudah di akses dimanapun dan kapanpun dengan media internet. Dan sistem ini dibangun dengan perhitungan dengan menggunakan klasifikasi NAÏVE BAYESIAN sehingga akurasi perhitungan lebih terjamin. 
Dari Penelitian ini dapat dihasilkan akurasi klasifikasi pengambilan keputusan dengan akurasi sebesar 56%."
1677119822-35;https://pta.trunojoyo.ac.id/c_search/byprod/10/94;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/100411100090;"SISTEM TEMU KEMBALI INFORMASI PADA JUDUL JURNAL MENGGUNAKAN 
LATENT SEMANTIC ANALYSIS";Penulis : Azir Muhammad Fannani;"Ketersediaan informasi dalam jumlah besar di satu sisi merupakan berkah yang patut disyukuri pada zaman ini, karena dengannya kehidupan manusia akan semakin mudah. Namun di sisi lain, melimpahnya informasi ini melahirkan permasalahan baru bagi manusia. Yaitu, perihal bagaimana mendapatkan informasi yang dibutuhkan secara tepat dan akurat diantara kumpulan berbagai informasi. Untuk itu dikembangkanlah cara untuk mengatasi permasalahan ini yaitu sistem temu kembali informasi atau information retrieval. Suatu sistem temu kembali informasi yang baik memiliki tingkat relevansi yang bisa diterima oleh pengguna. Untuk dapat menghasilkan nilai relevansi yang tinggi, maka salah satu caranya, sistem ini perlu menerapkan metode perangkingan yang baik dan teruji. Kemudian yang menjadi pertanyaan, bagaimana menentukan suatu kinerja metode perangkingan. Kinerja metode perangkingan ditentukan oleh relevansinya yang diukur dengan parameter precision dan recall. Latent semantic analysis pada tugas akhir ini akan dikombinasikan dengan cosine similarity, sehingga untuk mengukur kinerjanya perlu diimplementasikan ke dalam perangkat lunak untuk kemudian diuji parameternya.
Dalam suatu pengujian diperlukan metode lain sebagai pembanding untuk mengukur kinerja latent semantic analysis yang dikombinasikan dengan cosine similarity, maka dipilihlah vector space model sebagai pembanding.
Hasil pengujian pada tugas akhir ini menunjukan bahwa latent semantic analysis memiliki nilai similaritas yang lebih baik dari vector space model dengan nilai precision 81,5% dan nilai recall sebesar 80,2% sedangkan nilai f-measurenya 80,8"
1677119827-36;https://pta.trunojoyo.ac.id/c_search/byprod/10/93;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/100411100071;Sistem Penjadwalan Sidang Tugas Akhir Menggunakan Algoritma Genetika (Studi Kasus: Teknik Informatika Universitas Trunojoyo Madura);Penulis : Rizky Isnaini Safitri;"Saat ini penjadwalan sidang tugas akhir dilakukan oleh koordinator tugas akhir dengan 
cara manual yaitu dengan mendata mahasiswa yang mendaftar sidang, kemudian 
koordinator mengecek jadwal mengajar dosen dan bidang minat masing-masing. 
Setelah itu koordinator mencocokkan jadwal dosen dengan jadwal sidang, sehingga 
proses tersebut membutuhkan banyak waktu. 
Dalam menentukan penjadwalan sidang, sistem ini memakai metode Algoritma 
Genetika. Pertama sistem akan mengolah data pendaftatr sidang, data dosen dan jadwal 
dosen. Dari data yang sudah terkumpul tersebut kemudian menentukan dosen penguji, 
dan menghitung nilai penalti dari masing  –  masing pendaftar. Setelah itu menjumlah 
nilai penalti dan menghitung nilai  fitness-nya. Tahapan selanjutnya yaitu seleksi, dan 
akan dilanjutkan dengan tahapan  crossover  serta mutasi. Sehingga menghasilkan 
jadwal sidang. 
Dari percobaan yang telah dilakukan fitness terbaik didapat dari hasil percobaan 
dengan nilai inputan Probabilitas crossover 0.95 probabilitas mutasi 0.04, nilai fitness 
maksimal 0.3 jumlah generasi maksimal 20, hari Rabu tanggal 03 Agustus 2016 
semester ganjil gelombang pertama didapat nilai rata-rata fitness yaitu 2.64389 dengan 
waktu uji coba 1menit 37 detik."
1677119829-37;https://pta.trunojoyo.ac.id/c_search/byprod/10/93;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100027;PNERAPAN METODE RECURSIVE DIVISION DAN METODE DEPTH FIRST SEARCH DALAM PEMBUATAN GAME HELP SAKERA OUT PADA PERANGKAT BERGERAK;Penulis : Moh. Supandi;"Dalam pembuatan sebuah game terdapat dua cara yang bisa dilakukan. Cara yang pertama adalah dengan cara dinamis, sedangkan cara yang kedua adalah cara statis. Cara dinamis memiliki kelebihan dibandingkan dengan cara yang statis yaitu konten yang ada pada game tidak mudah dihafalkan oleh pemain. Konten tersebut dapat berupa dunia pada game, jalan cerita, aktor, musuh, peluru, serta, aspek lainnya. Cara yang statis memiliki kelemahan yaitu segala aspek yang ada pada game tidak akan pernah mengalami perubahan sehingga pemain dapat dengan mudah memenangkan permainan dengan menghafalkan aspek yang ada pada game. Salah satu cara untuk membuat sebuah game yang dinamis adalah dengan menerapkan metode Recursive Division dan metode Depth First Search(DFS). Metode Recursive Division adalah metode untuk membangun sebuah maze. Sedangkan metode Depth First Search adalah metode untuk mencari jalan keluar pada maze. Pada penelitian ini, kedua metode tersebut diterapkan pada pembuatan game yang berjudul Help Sakera Out. Game ini berjalan pada perangkat bergerak Android.   Hasil penelitian menunjukkan bahwa kecepatan terbaik metode Recursive Division adalah 0.00001 detik pada perangkat bergerak Android sedangkan kecepatan terburuknya adalah 0.008 detik. Kecepatan terbaik dan terburuk metode Recursive Division dipengaruhi oleh jumlah memori yang digunakan untuk menampung jumlah dinding yang disesuaikan berdasarkan ukuran maze yang dibangun.

Kata kunci : Metode Recursive Division, Metode Depth First Search, Maze, Android"
1677119832-38;https://pta.trunojoyo.ac.id/c_search/byprod/10/93;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100063;APLIKASI MEDIA PEMBELAJARAN MATEMATIKA DASAR INTERAKTIF ANTARA ORANG TUA DAN ANAK BERBASIS MOBILE ANDROID;Penulis : Maulana Mukhammad Rizqii;"Di era digital ini sudah banyak teknologi yang bisa digunakan dalam menunjang pembelajaran. Perkembangan pembelajaran di Indonesia khususnya matematika, yang merupakan dasar dari semua ilmu pengetahuan masih sangat rendah. Sedangkan untuk meningkatkannya perlu dibutuhkan suatu media penunjang untuk mendampingi pembelajaran yang sudah ada. Maka dibutuhkan penelitian baru dengan cara merancang sebuah aplikasi media pembelajaran yang dapat mengatasi masalah tersebut. Salah satu caranya dengan menambahkan game matematika sederhana di dalamnya, sehingga tanpa sadar anak-anak akan mempelajari matematika dengan model yang kreatif, aktif, serta menyenangkan. Selain itu peran orang tua juga dibutuhkan agar proses belajar lebih maksimal. Dirancang menggunakan pendekatan pada sistem mobile android yang mudah dijangkau oleh semua elemen masyarakat sehingga lebih efektif pada proses implementasinya.
Dari data hasil uji coba, aplikasi penelitian ini dapat berjalan baik pada device android dengan OS gingerbread (2.3) ke atas, serta dengan random access memory minimal 256 MB. Pengujian menggunakan kuisioner menunjukkan 100% responden yang telah terbiasa menggunakan android menjelaskan aplikasi ini dapat membantu meningkatkan kemampuan literasi matematika anak, sedangkan yang tidak terbiasa menggunakan android 66,66% saja yang setuju dengan pendapat tersebut. Hasil kuisioner menunjukkan bahwa aplikasi ini lebih efektif digunakan pada pengguna yang sudah terbiasa menggunakan device android.
Kata kunci : e-learning, matematika interaktif, e-learning android."
1677119834-39;https://pta.trunojoyo.ac.id/c_search/byprod/10/93;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/090411100106;ANALISA KINERJA KARYAWAN INDUSTRI KREATIF MENGGUNAKAN METODE BINARY LOGISTIK (STUDI KASUS : BATIK TRESNA);Penulis : Muhammad Nurhudha Toha;"Dari sudut pandang  dunia, sudah diakui bahwa usaha kecil dan menengah atau biasa di singkat dengan UKM memainkan suatu  peran yang sangat vital di dalam  pembangunan dan pertumbuhan  ekonomi negara. Dalam peningkatan  daya saing di dunia usaha kinerja karyawan merupakan faktor penting agar produksi dan jaringan  terus meningkat dan  karyawan patut mendapat perhatian lebih dari para pengembang usaha agar produksi dan elabilitas terus meningkat. Di era modern ini sangat di butuhkan karyawan dengan pengetahuan teknologi agar promosi produk menjaring kesemua daerah dan proses administrasi menjadi cepat. Apa lagi untuk media jual beli Online sekarang sudah ada E-Commerce. Ini merupakan suatu tindakan melakukan transaksi bisnis secara elektronik dengan menggunakan internet sebagai media komunikasi  yang paling utama (Robert E. Johnson). 
Sehingga perusahaan membutuhkan klustering khusus untuk menyoroti kinerja karyawan agar semua aktifitas dan kemampuan dapat terkontrol dan termonitor dengan baik. Untuk melakukan itu butuh sebuah sistem statistika bernama Regresi Binary Logistic. 
Berdasarkan analisis dari hasil uji ekspektasi B atau Exp (B) diketahui bahwa kontribusi dari kinerja dari Batik Trisna Art baik. Hal ini ditunjukkan dari besarnya nilai Logit dalam 5 tahun terakhir selalu menyentuh nilai = 0.731058579. Peluang yang kinerja karyawan baik yang bekerja di Batik Trisna Art diambil contoh di tahun 2015 yaitu 0.731058 untuk karyawan akan bekerja tidak baik sebesar 0.268941 sehingga tahun berikutnya kemungkinan besar kalau dapat mempertahankan kinerja maka akan dapat baik."
1677119836-40;https://pta.trunojoyo.ac.id/c_search/byprod/10/93;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/090411100056;Analisa Perbandingan SAW dan TOPSIS untuk Open Recruitment Warga Laboratorium Teknik Informatika di Universitas Trunojoyo Madura;Penulis : Merlien N. Febriyati;"Laboratorium berfungsi untuk menunjang kegiatan perkuliahan. Dalam hal ini, admin bertanggungjawab atas semua kegiatan akademik yang dilaksanakan di laboratorium. Namun banyaknya kegiatan akademik tersebut tidak sebanding dengan sumber daya manusia, sehingga admin kesulitan menangani semua kegiatan akademik tersebut. Open recruitment dibutuhkan untuk menjaring mahasiswa-mahasiswa berprestasi guna menjadi warga laboratorium. Kriteria-kriteria yang ditentukan pada open recruitment warga laboratorium, meliputi : online test, live coding, interview, presentasi, IPK, dan semester.
Penilaian open recruitment selama ini dilakukan secara manual dengan menggunakan Microsoft Excel, sehingga proses pengolahan data lama dalam pengambilan keputusan, maka sistem ini dibuat dengan menggunakan metode Simple Additive Weighting (SAW) dan Technique for Order Preference by Similarity to Ideal Solution (TOPSIS) sebagai solusi alternatif serta berbasis web.
Berdasarkan hasil uji coba menggunakan metode Simple Additive Weighting (SAW) menunjukkan nilai kecocokan urutan alternatif dengan hasil real sebesar 33,33% dan nilai kecocokan jumlah alternatif dengan hasil real sebesar 93,33%. Sedangkan, hasil uji coba menggunakan metode Technique for Order Preference by Similarity to Ideal Solution (TOPSIS) menunjukkan nilai kecocokan urutan alternatif dengan hasil real sebesar 46,67% dan nilai kecocokan jumlah alternatif dengan hasil real sebesar 100%."
1677119841-41;https://pta.trunojoyo.ac.id/c_search/byprod/10/92;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100101;Aplikasi UML Java Code Generator Menerapkan Design Pattern;Penulis : Siti Isnaini A K;Sebuah aplikasi “UML Java Code Generator” dapat membantu developer dalam proses menerjemahkan UML ke dalam bentuk tulisan program. Untuk merancang aplikasi dengan baik dan terstruktur sehingga rancangan aplikasi berkualitas dan dapat mudah dimengerti, maka diterapkan design pattern. Design pattern dapat meningkatkan skalabilitas dan maintainabilitas dari aplikasi. Design pattern yang diterapkan adalah composite pattern sebagai desain pola struktural dan command pattern sebagai desain pola behavioral. Hasil penelitian adalah: (1) penerapan command pattern pada aplikasi dapat mendukung fungsionalitas undo dan redo yang dapat memudahkan user dalam menggunakan aplikasi (2) penerapan composite pattern bermanfaat karena kebutuhan terhadap dua atau lebih subclass dapat diwakili oleh satu superclass.
1677119844-42;https://pta.trunojoyo.ac.id/c_search/byprod/10/92;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100033;SISTEM PENDUKUNG KEPUTUSAN PENENTUAN SISWA KELAS UNGGULAN MENGGUNAKAN METODE ENTROPY DAN ELIMINATION ET CHOIX TRADUISANT LA REALITE II (ELECTRE II);Penulis : Arum Wisma Dari;"Kelas unggulan merupakan kelas yang berisi siswa pilihan yang dipilih berdasarkan syarat-syarat yang ketat yaitu IQ, potensi akademik, dan prestasi akademik. Di sekolah menengah saat ini sebagian besar masih menggunakan cara manual untuk menentukan siswa kelas unggulan, yaitu dengan memilih siswa kelas unggulan hanya dengan pertimbangan nilai akhir semester, pada penelitian ini akan menggunakan beberapa kriteria sebagai bahan pertimbangan untuk masuk kelas unggulan. Penelitian ini akan menggunakan dua metode yaitu metode Entropy untuk proses pembobotan dan Metode Elimination and Choice Translation Reality II (Electre II) untuk perangkingan. Electre II merupakan metode pengambilan keputusan multikriteria berdasarkan pada konsep outranking dengan menggunakan perbandingan berpasangan dari alternatif-alternatif berdasarkan setiap kriteria yang sesuai.
Pada penggunaan sistem pendukung keputusan dengan metode Electre II ini, pengguna akan memberikan nilai rating kecocokan untuk setiap alternatif terhadap keempat kriteria yaitu nilai pengetahuan, nilai sikap, nilai ketrampilan dan nilai tes akademik. Hasil akhir yang ditampilkan adalah rekomendasi siswa kelas unggulan yang diurutkan sesuai nilai terbaik. Dari hasil eksperimen yang telah dilakukan dengan metode Entropy dan Electre II, dari uji skenario yang telah dilakukan dapat dihasilkan nilai akurasi sebesar 73% dengan data uji 30 data .

Kata kunci : Kelas Unggulan, Entropy dan Electre II"
1677119846-43;https://pta.trunojoyo.ac.id/c_search/byprod/10/92;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100036;KLASIFIKASI PENYAKIT DIABETES RETINOPATI MENGGUNAKAN LINEAR DISC ANALYSIS (LDA) DENGAN METODE EUCLIDEAN DISTANCE;Penulis : TUTUT DEWI ANGGRAINI;Diabetes Retinopatipenyakit yang terjadi pada mata menyebabkan penglihatan penderita terganggu, pada tingkat lanjut dapat menyebakan kebutaan pada penderita. Pemeriksaan secara medis dilakukan dengan kamera fundus dan menghasilkan citra fundus mata. Untuk mengetahui tingkatan Diabetes Retinopati dilakukan klasifikasi terhadap tingkat keparahan berdasarkan citra fundus. Penelitian ini menggunakan database MESSIDOR(Methods for Evaluating Segmentation and Indexing techniques Dedicated to Retinal Ophthalmology). Pada penelitian ini ada 3 tahapan utama, Tahap pertama menyiapkan citra inputan, inputan menggunakan citra asli yang dirubah jadi grayscale dan citra eliminasi pembuluh darah. Citra eliminasi pembuluh darah didapat dengan overlapping antara citra grayscale dan citra hasil segmentasi. Tahap kedua proses ekstraksi fitur Linear Discriminant Analysis (LDA) yang diawali dengan proses ekstraksi fitur Principal Component Analysis (PCA). Hasil ekstraksi fitur digunakan pada tahap ketiga yaitu proses pengukuran kemiripan dengan Euclidean Distance. Sistem dapat bekerja dengan tingkat akurasi maksimum 40,88% dengan fitur awal (76) dengan inputan citra grayscale dan dengan nilai fitur yang sama menggunakan fitur awal (76) didapat akurasi 40,25% inputan menggunakan eliminasi pembuluh darah.
1677119849-44;https://pta.trunojoyo.ac.id/c_search/byprod/10/92;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100026;Sistem Rekomendasi Pengaturan Pola Makan Penderita Diabetes Mellitus Menggunakan Metode K-mean Clustering;Penulis : Sukma Herli Kristianti;"Diabetes Mellitus (DM) atau yang umum dikenal dengan Kencing manis adalah penyakit yang ditandai dengan peningkatan kadar gula yang terus-menerus dan bervariasi, terutama setelah makan.Sehingga penderita diabetes sangat dianjurkan untuk mengatur pola makan sesuai banyaknya kalori yang dibutuhkan oleh tubuh penderita diabetes tersebut sebagai cara untuk menjaga kestabilan gula darah. 
Untuk membantu masyarakat dalam memilih makanan penderita diabetes maka dibutuhkan suatu sistem yang mudah diakses oleh masyarakat dan yang mampu memberikan rekomendasi makanan tersebut kepada masyarakat. Dalamsisteminimenggunakanmetode K-Mean Clustering. K-mean Clustering adalah Proses pembentukan kelompok data yang tidak diketahui kelompok-kelompoknya. Hasil yang akan dimunculkan adalah rekomendasi takaran makanan untuk penderita penyakit diabetes sesuai kalori yang dibutuhkan.
Dari penelitian yang telah dilakukan dengan metode k-mean clustering ini, diketahuinilaiakurasi data sebesar 63%.
Kata kunci: Sistem Pendukung Keputusan, Diabetes Mellitus, K-mean Clustering"
1677119851-45;https://pta.trunojoyo.ac.id/c_search/byprod/10/92;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100080;PERANCANGAN DAN IMPLEMENTASI APLIKASI ANDROID ALAT BANTU PEMBELAJARAN INTERAKTIF HURUF HIJAIYAH DENGAN METODE WAFA;Penulis : Astrid Enggar Triasti D.;"Belajar mengenal huruf hijaiyah merupakan hal yang paling pokok dalam membaca al-Quran, sehingga harus diajarkan sejak dini. Namun, saat ini minat anak-anak dalam belajar rendah. Salah satu faktor penyebabnya adalah metode pembelajaran huruf hijaiyah kurang variatif dan menyenangkan. Wafa adalah metode belajar al-Quran dengan pendekatan otak kanan (asosiatif dan imajinatif). Sedangkan perkembangan teknologi informasi saat ini memungkinkan untuk pengembangan media pembelajaran interaktif pengenalan huruf hijaiyah. Sehingga untuk menambah minat anak dalam belajar hijaiyah, dikembangkan aplikasi android pembelajaran interaktif huruf hijaiyah metode Wafa.
Berdasarkan uji coba terhadap pengguna, baik trainer Wafa maupun guru dan murid SDIT Ulil Albab Kamal mengatakan bahwa 100% aplikasi belajar hijaiyah Wafa Buku Satu dapat membantu proses belajar mengajar dan 80% aplikasi telah sesuai dengan konsep Wafa.
Kata Kunci: Aplikasi Pembelajaran, metode Wafa, Pembelajaran interaktif, Android"
1677119856-46;https://pta.trunojoyo.ac.id/c_search/byprod/10/91;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/110411100089;"SISTEM DINAMIK UNTUK MENGANALISA EFEKTIVITAS KEBIJAKAN PENDIDIKAN DALAM PENYELARASAN
DUNIA KERJA KERJA INDUSTRI";Penulis : Nurul Huriyah;"SISTEM DINAMIK UNTUK MENGANALISA EFEKTIVITAS KEBIJAKAN PENDIDIKAN DALAM PENYELARASAN
DUNIA KERJA KERJA INDUSTRI
( Studi Kasus: Sekolah Menengah Kejuruan Negeri 1 Sampang ) 

Nurul Huriyah 
(11.04.111.00089)

Pembimbing I : Achmad Jauhari, ST., M.Kom. Pembimbing II : Sigit Susanto P, S. Kom. M. Kom 

ABSTRAK
Pendidikan merupakan proses pembelajaran yang dilakukan secara sadar oleh pendidik, dengan tujuan supaya  terbentuknya kepribadiaan yang bukan hanya  pintar secara akademis tapi juga memiliki kualitas kompetensi yang berkualitas. Untuk bisa menciptakan lulusan yang berkualitas, dibutuhkan suatu sistem yang bisa menganalisa hal tersebut.  SDM yang baik dan berkualitas diharapkan dapat mencapai kompetensi yang dapat mengisi atau dapat menciptakan lapangan pekerjaan yang sesuai dengan bidang dan keahliannya. Metode yang digunaan dalam penelitian ini adalah pendekatan sistem dinamik yang dilanjutan dengan simulasi dengan beberapa skenario yang sudah ditetapkan. Pemodelan sistem dinamik dilakukan dengan alat bantu simpal causal (loops) yang menghasilkan struktur model dinamis dan perilaku sistem dinamik.
Berdasarkan hasil simulasi, kebijakan dalam penyelarasaan sistem pendidikan dengan dunia kerja  untuk meningkatkan siswa diterima kerja yang relevan pada SMKN 1 Sampang dapat dilakukan dengan peningkatan sarana dan prasarana, dan kerja sama dengan dunia industri.  
Peningkatan sarana dan prasarana dapat meningkatkan siswa diterima kerja yang relevan sampai dengan 47% , dan penambahan kerja sama dengan dunia industri dapat meningkatan siswa diterima kerja yang relevan sampai dengan 43%.
Kata Kunci : Pendidikan, Sistem Dinamik, Simulasi, Keselarasan"
1677119859-47;https://pta.trunojoyo.ac.id/c_search/byprod/10/91;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100034;SISTEM PENILAIAN MONITORING KOPERASI PADA DINAS KOPERASI DAN UKM KABUPATEN SAMPANG DENGAN MENGGUNAKAN METODE MAGIQ (MULTI ATTRIBUTE GLOBAL INFERENCE OF QUALITY);Penulis : YUDA CAHYA PRATIWI;"Dari setiap koperasi ada penilaian dan dari hasil penilaian dapat dikategorikan menjadi beberapa kategori seperti koperasi sehat, cukup sehat, kurang sehat, tidak sehat bahkan sangat tidak sehat. Tujuan dari penilaian koperasi adalah memberikan penilaian prestasi kinerja dengan mengacu kepada tingkat kesehatan yang menunjukkan kinerja koperasi, memberikan motivasi kepada koperasi agar selalu meningkatkan kualitas kinerja. Namun penilaian tersebut masih dilakukan dengan menggunakan perhitungan di Ms Excel. Maka dari itu penulis membuat sistem yang dapat mempermudah dan lebih cepat Dinas Koperasi dan UKM Kabupaten Sampang untuk penilaian koperasi-koperasi baik perhitungan maupun penyimpanannya. Selain itu dengan dibuatnya sistem ini dapat membandingkan nilai yang telah dihitung dengan menggunakan Ms Excel dengan perhitungan yang menggunakan metode dan untuk memonitoring kinerja koperasi. 
Berdasarkan hasil uji coba sistem yang dilakukan dapat diketahui bahwa menggunakan metode MAGIQ untuk menilai koperasi sebagai monitoring, hasil akhirnya mempunyai kategori yang mendekati sesuai dengan kategori dari perhitungan dinas yaitu dari 51 data koperasi, sebanyak 41 data koperasi mempunyai kategori yang sesuai sehingga mempunyai akurasi sebesar 80.39%.

Kata Kunci : koperasi, penilaian, MAGIQ"
